指 标,Item,"总店数
(个)
Number
of Head
Stores
(unit)","门店总数
(个)
Number
of Stores
(unit)","年末从业人数
(万人)
Employed
Persons
at Year-end
(10 000 persons)","年末餐饮
营业面积
(万平方米)
Operating
Area of
Catering
Enterprises
at Year-end
(10 000 sq.m)","餐位数
(万个)
Number of
Dining-seats
(10 000 units)","营业额
(亿元)
Business
Revenue
(100 million
yuan)","商品购进
总额
(亿元)
Total
Purchases
Value(100
million yuan)","统一配送
商品购进额
(亿元)
Centralized
Purchase
and Delivery
(100 million yuan)"
合 计,Total,495,34356,93.5,1151.5,346.6,2234.50,774.33,563.63
内资企业,Domestic Invested Enterprises,320,10385,26.8,419.0,121.0,681.49,235.79,128.06
  国有企业,  State-owned Enterprises,4,132,0.2,2.9,1.0,8.66,3.14,1.88
  集体企业,  Collective-owned Enterprises,1,2,0.0,1.2,0.2,0.96,0.45,0.45
  股份合作企业,  Cooperative Enterprises,3,8,0.0,0.8,0.2,0.75,0.37,0.06
  联营企业,  Joint Ownership Enterprises,,,,,,,,
    国有联营企业,    State Joint Ownership Enterprises,,,,,,,,
    集体联营企业,    Collective Joint Ownership Enterprises,,,,,,,,
    国有与集体联营企业,    Joint State-collective Enterprises,,,,,,,,
    其他联营企业,    Other Joint Ownership Enterprises,,,,,,,,
  有限责任公司,  Limited Liability Corporations,107,5052,11.2,139.3,45.0,261.27,81.01,49.96
    国有独资公司,    State Sole-proprietorship Corporations,,,,,,,,
    其他有限责任公司,    Other Limited Liability Corporations,107,5052,11.2,139.3,45.0,261.27,81.01,49.96
  股份有限公司,  Share-holding Corporations Ltd.,12,947,4.9,102.9,19.3,133.57,53.03,21.99
  私营企业,  Private Enterprises,190,4235,10.3,171.6,55.0,275.67,97.54,53.63
    私营独资企业,    Private Sole-proprietorship Enterprises,8,94,0.3,4.9,1.2,5.50,1.60,0.09
    私营合伙企业,    Private Partnership Enterprises,1,16,0.0,0.5,0.2,0.92,0.33,
    私营有限责任公司,    Private Limited Liability Corporations,178,4113,10.0,164.8,53.4,268.72,95.38,53.40
    私营股份有限公司,    Private Share-holding Corporations Ltd.,3,12,0.0,1.4,0.2,0.53,0.23,0.14
  其他企业,  Other Enterprises,3,9,0.0,0.3,0.2,0.61,0.25,0.08
港、澳、台商投资企业,"Enterprises with Investment from
Hong Kong,Macao and Taiwan",86,9586,24.2,275.3,84.7,598.01,184.28,160.66
  合资经营企业,  Joint-venture Enterprises,15,1246,4.0,36.7,10.9,107.78,44.41,44.25
  合作经营企业,  Cooperative Enterprises,1,5,0.1,2.0,0.2,2.42,1.39,1.39
  独资经营企业,  Sole-proprietorship Enterprises,67,8299,20.1,232.9,72.8,484.40,137.22,114.68
  投资股份有限公司,  Share-holding Corporations Ltd.,2,30,0.1,3.6,0.7,3.23,1.19,0.28
  其他港澳台商投资企业,"  Other Enterprises with Investment from
  Hong Kong,Macao and Taiwan",1,6,0.0,0.1,0.1,0.18,0.06,0.06
外商投资企业,Foreign Invested Enterprises,89,14385,42.5,457.2,140.9,955.00,354.26,274.91
  中外合资经营企业,  Joint-venture Enterprises,11,2286,8.3,79.0,23.9,191.79,48.76,48.06
  中外合作经营企业,  Cooperative Enterprises,,,,,,,,
  外资企业,  Sole-proprietorship Enterprises,73,11407,31.3,327.,99.9,690.83,279.13,206.39
  外商投资股份有限公司,  Share-holding Corporations Ltd.,1,103,0.8,11,3.6,37.32,19.81,19.81
  其他外商投资企业,  Other Foreign Invested Enterprises,4,589,2.0,39,13.6,35.05,6.57,0.65
