指 标,Item,"法人企业
(个)
Number of
Corporate
Enterprises
(unit)","年末从业
人数(人)
Employed
Persons
at Year-end
(person)","营业额
Business
Revenue",,"资产总计
Total
Assets",,,"负债合计
Total
Liabilities","所有者
权益合计
Total
Owners'
Equities","营业收入
Business
Revenue","营业成本
Business
Cost","税金及附加
Taxes and
Other Charges","利润总额
Total
Profits"
,,,,,"#餐费收入
From
Meals",,"#流动资产
合 计
Total
Current
Assets","#固定资产
净 额
Net Value
of Fixed
Assets",,,,,,
      私营有限责任公司,      Private Limited Liability Corporations,18695,1045809,2727.7,2428.1,2353.0,1234.3,448.0,1806.6,537.0,2601.4,1468.5,21.1,62.9
      私营股份有限公司,      Private Share-holding Corporations Ltd.,352,26909,77.3,66.7,91.3,36.8,24.8,55.9,35.8,73.4,47.5,0.5,1.7
    其他企业,    Other Enterprises,27,1301,2.6,2.0,8.0,1.3,4.3,7.5,0.6,2.5,1.7,,
  港、澳、台商投资企业,"  Enterprises with Investment from Hong Kong,
  Macao and Taiwan",665,320504,845.5,786.3,666.2,306.3,134.9,391.4,274.8,794.1,291.9,1.4,45.8
    合资经营企业,    Joint-venture Enterprises,123,53082,139.7,133.5,140.5,39.2,54.8,70.1,70.4,132.0,54.3,0.2,8.0
    合作经营企业,    Cooperative Enterprises,15,4336,12.6,12.0,9.5,7.6,0.8,8.6,0.9,11.8,5.5,0.1,0.4
    独资经营企业,    Sole-proprietorship Enterprises,513,248836,665.9,614.1,488.1,248.4,69.1,290.5,197.6,624.7,223.2,1.1,38.8
    投资股份有限公司,    Share-holding Corporations Ltd.,8,13819,26.0,25.5,27.7,10.8,10.0,21.9,5.8,24.4,8.4,,-1.4
    其他港澳台商投资企业,"    Other Enterprises with Investment from
    Hong Kong,Macao and Taiwan",6,431,1.2,1.2,0.4,0.2,,0.3,0.1,1.2,0.4,,
  外商投资企业,  Foreign Invested Enterprises,427,439802,1062.1,1022.8,477.6,198.0,86.9,260.5,217.2,1009.8,491.0,0.8,81.6
    中外合资经营企业,    Joint-venture Enterprises,78,90130,208.9,205.5,78.8,20.1,16.8,40.6,38.2,198.9,95.0,0.1,21.1
    中外合作经营企业,    Cooperative Enterprises,7,593,3.0,2.7,1.3,0.8,0.0,0.3,1.0,2.9,2.2,,0.1
    外资企业,    Sole-proprietorship Enterprises,313,324623,777.4,747.4,361.9,160.4,64.2,197.2,164.7,738.6,363.1,0.6,56.4
    外商投资股份有限公司,    Share-holding Corporations Ltd.,8,4137,7.8,3.3,4.0,2.5,0.2,2.3,1.6,7.4,5.8,,0.1
    其他外商投资企业,    Other Foreign Invested Enterprises,21,20319,65.0,64.0,31.6,14.1,5.8,20.0,11.6,62.1,25.0,0.1,3.9
按国民经济行业分,By Division of Economic Activities,,,,,,,,,,,,,
  正餐服务,  Restaurant,26972,1646497,4274.2,3759.4,4385.3,2074.4,1034.6,3201.8,1163.6,4079.7,2190.7,39.3,107.2
  快餐服务,  Fast Food,1210,608328,1461.0,1396.4,670.1,253.8,123.2,402.3,267.1,1379.8,663.9,1.8,93.5
  饮料及冷饮服务,  Beverages and Cold Drinks,416,106414,386.9,352.6,265.3,189.0,21.0,171.0,94.4,370.1,144.9,0.5,30.8
  餐饮配送及外卖送餐服务,  Catering Distribution and Delivery Service,793,81060,243.0,203.2,110.8,86.2,13.6,64.6,46.2,232.1,174.7,0.7,7.6
  其他餐饮业,  Others,527,85631,192.3,175.1,158.7,91.4,10.7,92.8,65.7,182.3,98.7,0.7,12.1
